MapID	Area Name		"Families w/ Income < $23,050"	"Families w/ Income btw. $23,050 Ð $38,400"	"Families w/ Income btw. $38,400 Ð $61,450"	"Families w/ Income btw. $61,450 Ð $91,150"	"Families w/ Income btw. $91,150 Ð $192,000"	"Families w/ Income > $192,000"	Total Families		Mediam Family Income (2006)
408		Hillcrest/Fresh Meadows	"3,769"	"5,850"	"7,424"	"7,237"	"9,372"	"1,361"	"35,013"		"$61,610"
409		Ozone Park/Woodhaven	"5,411"	"4,865"	"6,097"	"7,205"	"7,606"	841	"32,025"		"$60,344"
410		South Ozone Park/Howard Beach	"3,884"	"4,503"	"6,466"	"6,129"	"8,139"	531	"29,652"		"$61,097"
411		Bayside/Little Neck	"2,847"	"3,350"	"5,026"	"5,970"	"10,397"	"3,143"	"30,733"		"$80,754"
412		Jamaica	"6,365"	"8,170"	"12,165"	"10,187"	"10,482"	878	"48,246"		"$54,508"
413		Queens Village	"3,714"	"6,235"	"9,869"	"11,493"	"15,865"	"2,209"	"49,386"		"$73,452"
414		Rockaways	"5,725"	"3,601"	"4,797"	"4,781"	"5,504"	"1,226"	"25,634"		"$54,348"
	Staten Island		"12,617"	"12,831"	"19,863"	"26,518"	"42,279"	"9,308"	"123,416"		"$78,756"
501		North Shore	"5,959"	"4,897"	"6,213"	"9,421"	"11,476"	"2,102"	"40,068"		"$67,469"
502		Mid-Island	"4,228"	"4,834"	"5,994"	"7,626"	"11,921"	"2,275"	"36,877"		"$73,497"
503		South Shore	"2,431"	"3,100"	"7,657"	"9,471"	"18,882"	"4,932"	"46,471"		"$89,783"

"All data from the 2006 American Community Survey (ACS), available at www.infoshare.org."											
